시도,시군구,강도,살인,성범죄,절도,폭력,major_crime_type,절도_비율,폭력_비율,성범죄_비율,강도_비율,살인_비율,crime_count,risk_score,cluster,region_type,cctv_count,경찰서,파출소
광주,서구,7,4,185,1246,1635,"폭력, 절도, 성범죄",40.5,53.1,6,0.2,0.1,3077,26.8,2,치안 인프라 보완 필요 지역,51,1,7
광주,남구,1,2,58,759,695,"절도, 폭력, 성범죄",50.1,45.9,3.8,0.1,0.1,1515,13,2,치안 인프라 보완 필요 지역,79,1,6
광주,북구,3,5,138,1877,1432,"절도, 폭력, 성범죄",54.3,41.4,4,0.1,0.1,3455,30,0,범죄 집중 관리 지역,433,1,9
광주,광산구,7,4,151,1658,1811,"폭력, 절도, 성범죄",45.7,49.9,4.2,0.2,0.1,3631,31.3,0,범죄 집중 관리 지역,1201,1,13
대전,동구,5,7,91,1023,1251,"폭력, 절도, 성범죄",43,52.6,3.8,0.2,0.3,2377,20.4,0,범죄 집중 관리 지역,908,1,6
대전,중구,1,0,136,1172,1541,"폭력, 절도, 성범죄",41.1,54.1,4.8,0,0,2850,23.4,0,범죄 집중 관리 지역,4526,1,6
대전,서구,5,10,224,1873,2519,"폭력, 절도, 성범죄",40.4,54.4,4.8,0.1,0.2,4631,40.3,0,범죄 집중 관리 지역,882,2,8
대전,유성구,5,8,127,1064,1222,"폭력, 절도, 성범죄",43.9,50.4,5.2,0.2,0.3,2426,20.9,0,범죄 집중 관리 지역,590,1,7
대전,대덕구,1,2,68,546,810,"폭력, 절도, 성범죄",38.3,56.8,4.8,0.1,0.1,1427,11.9,0,범죄 집중 관리 지역,1104,1,4
울산,중구,0,7,58,530,688,"폭력, 절도, 성범죄",41.3,53.6,4.5,0,0.5,1283,10.3,0,범죄 집중 관리 지역,2263,1,5
울산,남구,4,3,171,955,1652,"폭력, 절도, 성범죄",34.3,59.3,6.1,0.1,0.1,2785,23.9,0,범죄 집중 관리 지역,1283,1,6
울산,동구,5,5,49,498,721,"폭력, 절도, 성범죄",39,56.4,3.8,0.4,0.4,1278,10.8,1,생활 안전 지역,597,1,4
울산,북구,1,2,45,712,707,"절도, 폭력, 성범죄",48.5,48.2,3.1,0.1,0.1,1467,12.1,0,범죄 집중 관리 지역,1759,1,7
울산,울주군,2,6,59,507,749,"폭력, 절도, 성범죄",38.3,56.6,4.5,0.2,0.5,1323,11.4,2,치안 인프라 보완 필요 지역,,1,10
세종,세종시,1,4,124,1117,903,"절도, 폭력, 성범죄",52,42,5.8,0,0.2,2149,18.1,0,범죄 집중 관리 지역,1575,2,2
경기도,고양시,10,11,276,2645,3767,"폭력, 절도, 성범죄",39.4,56.1,4.1,0.1,0.2,6709,58.1,0,범죄 집중 관리 지역,2356,3,18
경기도,과천시,0,2,15,327,179,"절도, 폭력, 성범죄",62.5,34.2,2.9,0,0.4,523,5,1,생활 안전 지역,300,1,2
경기도,광명시,2,4,60,872,1094,"폭력, 절도, 성범죄",42.9,53.8,3,0.1,0.2,2032,17.3,0,범죄 집중 관리 지역,1136,1,6
경기도,광주시,5,3,102,1015,1670,"폭력, 절도, 성범죄",36.3,59.7,3.6,0.2,0.1,2795,23.8,0,범죄 집중 관리 지역,1732,1,9
경기도,구리시,0,1,76,572,709,"폭력, 절도, 성범죄",42.1,52.2,5.6,0,0.1,1358,11.4,0,범죄 집중 관리 지역,961,1,5
경기도,군포시,1,3,69,876,771,"절도, 폭력, 성범죄",50.9,44.8,4,0.1,0.2,1720,14.6,0,범죄 집중 관리 지역,854,1,5
경기도,김포시,3,8,135,1964,2057,"폭력, 절도, 성범죄",47.1,49.4,3.2,0.1,0.2,4167,35.9,0,범죄 집중 관리 지역,1685,1,12
